%time,field.x,field.y,field.z,field.qw,field.qx,field.qy,field.qz,field.vx,field.vy,field.vz,field.angx,field.angy,field.angz
1651434030700125909,-0.02319219708442688,-0.0020649214275181293,-0.07078178972005844,0.999858558177948,-0.000878078630194068,-0.00044838839676231146,0.016790276393294334,0.00018775359785649925,-0.0005256867734715343,0.0006077451398596168,-0.0625,0.0625,-0.0625
1651434030701937738,-0.023192064836621284,-0.0020664120092988014,-0.07078094035387039,0.999858558177948,-0.0008741594501771033,-0.0004119439690839499,0.016791440546512604,0.0001668302429607138,-0.0005848522996529937,0.0006311487522907555,-0.0625,0.0625,-0.0625
1651434030704311489,-0.02319355309009552,-0.0020670059602707624,-0.07078380137681961,0.9998586177825928,-0.0008695468422956765,-0.000466297788079828,0.016784820705652237,7.546072447439656e-05,-0.0005985955358482897,0.00048340499051846564,-0.0625,0.0625,-0.0625
1651434030707108553,-0.023195821791887283,-0.0020665368065238,-0.07078547775745392,0.9998589158058167,-0.0008917094091884792,-0.0005119469715282321,0.0167671050876379,-4.689613342634402e-05,-0.0005586265469901264,0.0004022186330985278,-0.0625,0.0625,-0.0625
1651434030709972159,-0.023197941482067108,-0.0020658436696976423,-0.07078715413808823,0.9998590350151062,-0.0008994622621685266,-0.0005334442830644548,0.016758833080530167,-0.0002057584933936596,-0.0004443438956514001,0.00029241424635984004,0.25,0.0625,-0.0625
1651434030710130772,-0.02319912239909172,-0.002065046224743128,-0.07079153507947922,0.9998592138290405,-0.0008635816629976034,-0.0005815718322992325,0.01674654334783554,-0.0003102809132542461,-0.0003308414597995579,6.677476631011814e-05,0.25,0.0625,-0.0625
1651434030712032389,-0.02320014499127865,-0.0020641405135393143,-0.0707954540848732,0.9998593330383301,-0.0008466918370686471,-0.000604598259087652,0.016740737482905388,-0.00039063123404048383,-0.0002351712028030306,-0.00011621320300037041,0.25,0.0625,-0.0625
1651434030713974086,-0.023201342672109604,-0.0020633244421333075,-0.07079911231994629,0.9998593926429749,-0.0008368008420802653,-0.0006174130830913782,0.016737375408411026,-0.0004818691813852638,-0.00013431368279270828,-0.0002693145943339914,0.25,0.0625,-0.0625
1651434030715542169,-0.023203149437904358,-0.0020633249077945948,-0.07080088555812836,0.9998589754104614,-0.0008457896765321493,-0.0005774748860858381,0.016761818900704384,-0.0005871513276360929,-9.153714927379042e-05,-0.0003260470402892679,0.25,0.0625,-0.0625
1651434030717811738,-0.023204106837511063,-0.002063431078568101,-0.07079959660768509,0.9998586773872375,-0.0008642664761282504,-0.0004849001416005194,0.016783572733402252,-0.0006464151665568352,-5.020380922360346e-05,-0.00023146852618083358,0.25,0.0625,-0.0625
1651434030719553501,-0.023204855620861053,-0.0020634434185922146,-0.07079833000898361,0.9998584985733032,-0.0008734060102142394,-0.00044007666292600334,0.01679416373372078,-0.0006894521648064256,-1.3630030480271671e-05,-0.00015001959400251508,0.25,0.0625,-0.0625
1651434030721760658,-0.023207392543554306,-0.0020618445705622435,-0.07079923897981644,0.9998584389686584,-0.0008440215606242418,-0.0004966074484400451,0.016797853633761406,-0.0008116072276607156,9.88944957498461e-05,-0.00017390132416039705,0.25,0.0625,-0.0625
1651434030724589881,-0.023209702223539352,-0.0020603081211447716,-0.07080003619194031,0.9998583793640137,-0.0008294640574604273,-0.0005247195367701352,0.016799699515104294,-0.0009112102561630309,0.00019698133110068738,-0.00019054456788580865,0.25,0.0625,-0.0625
1651434030726408755,-0.023211658000946045,-0.0020588990300893784,-0.07080069929361343,0.9998583793640137,-0.0008225035271607339,-0.0005383676616474986,0.016800619661808014,-0.000986374099738896,0.0002783709205687046,-0.00020106430747546256,0.25,0.0625,-0.0625
1651434030727877353,-0.023213539272546768,-0.0020575502421706915,-0.07080128788948059,0.9998583793640137,-0.0008188349311240017,-0.0005453148041851819,0.01680106110870838,-0.0010494044981896877,0.0003502342733554542,-0.0002058104582829401,0.25,0.0625,-0.0625
1651434030729654761,-0.023214368149638176,-0.002057192614302039,-0.07080121338367462,0.9998583197593689,-0.0008644123445264995,-0.0004702060541603714,0.016803663223981857,-0.0010639103129506111,0.0003692452155519277,-0.00018357638327870518,0.25,0.0625,-0.0625
1651434030731796351,-0.023215530440211296,-0.0020567041356116533,-0.07080119103193283,0.9998583197593689,-0.0008890224853530526,-0.00042898155516013503,0.016804998740553856,-0.0010844977805390954,0.00039261780329979956,-0.00016034474538173527,0.25,0.0625,-0.0625
1651434030734070857,-0.023216405883431435,-0.002056303434073925,-0.07080110907554626,0.9998582601547241,-0.000901274208445102,-0.00040870491648092866,0.01680568978190422,-0.0010919288033619523,0.0004097813507542014,-0.0001379777822876349,0.25,0.0625,-0.0625
1651434030736240108,-0.02321648597717285,-0.002055135788396001,-0.07080155611038208,0.9998580813407898,-0.0009044521139003336,-0.00041084736585617065,0.016816342249512672,-0.001067523960955441,0.0004612655029632151,-0.0001445482630515471,0.25,0.0625,-0.0625
1651434030737675652,-0.023216629400849342,-0.0020540470723062754,-0.07080194354057312,0.999858021736145,-0.0009059876319952309,-0.0004119268851354718,0.016821816563606262,-0.0010462009813636541,0.0005044708377681673,-0.0001472786534577608,0.25,0.0625,-0.0625
1651434030739905607,-0.02321544475853443,-0.0020547101739794016,-0.070802241563797,0.999858021736145,-0.0008887033327482641,-0.0004882726352661848,0.016821131110191345,-0.0009595812880434096,0.00046063089394010603,-0.00014207788626663387,0.25,0.0625,-0.0625
