%time,field.ax,field.ay,field.az,field.gx,field.gy,field.gz
1644287564103157440,-0.03999999910593033,-0.019999999552965164,0.10000000149011612,-0.0625,-0.125,-0.0625
1644287564117181169,-0.029999999329447746,-0.019999999552965164,0.07999999821186066,-0.0625,-0.375,-0.0625
1644287564126617568,-0.029999999329447746,-0.009999999776482582,0.09000000357627869,0.0,0.0625,-0.0625
1644287564133392987,-0.03999999910593033,-0.009999999776482582,0.07999999821186066,0.0625,0.0,0.0625
1644287564143310745,-0.05000000074505806,-0.009999999776482582,0.07000000029802322,-0.125,-0.125,-0.125
1644287564153780682,-0.05999999865889549,-0.009999999776482582,0.07000000029802322,-0.0625,-0.125,-0.1875
1644287564164693504,-0.03999999910593033,0.0,0.07999999821186066,-0.125,0.0,0.0625
1644287564174550564,-0.03999999910593033,-0.009999999776482582,0.07999999821186066,0.0,0.125,-0.0625
1644287564183761745,-0.03999999910593033,0.0,0.10000000149011612,0.0625,-0.0625,-0.125
1644287564194628937,-0.029999999329447746,-0.019999999552965164,0.05999999865889549,-0.0625,0.125,-0.125
1644287564205416584,-0.029999999329447746,-0.029999999329447746,0.07999999821186066,0.0625,-0.0625,-0.0625
1644287564213345856,-0.05000000074505806,-0.009999999776482582,0.07999999821186066,-0.125,0.1875,-0.125
1644287564223723126,-0.05999999865889549,-0.019999999552965164,0.09000000357627869,0.0,0.125,-0.0625
1644287564233865275,-0.029999999329447746,-0.009999999776482582,0.10999999940395355,-0.125,0.0625,-0.0625
1644287564244488481,-0.03999999910593033,-0.019999999552965164,0.05999999865889549,-0.125,0.0625,-0.0625
1644287564253988170,-0.03999999910593033,0.0,0.07000000029802322,0.0,0.0,-0.125
1644287564265766987,-0.05000000074505806,0.0,0.07999999821186066,0.0,-0.1875,-0.125
1644287564276134722,-0.05999999865889549,-0.009999999776482582,0.07999999821186066,0.0625,0.0625,-0.0625
1644287564286483062,-0.05000000074505806,-0.019999999552965164,0.05000000074505806,0.0625,0.25,-0.0625
1644287564293771264,-0.029999999329447746,-0.019999999552965164,0.05999999865889549,0.0625,0.0625,0.0625
1644287564303629672,-0.03999999910593033,-0.029999999329447746,0.07000000029802322,0.125,0.0625,-0.1875
1644287564314697845,-0.05000000074505806,0.0,0.07000000029802322,0.0625,-0.125,0.0625
1644287564323786879,-0.03999999910593033,-0.009999999776482582,0.07999999821186066,-0.125,-0.0625,-0.0625
1644287564334657586,-0.03999999910593033,0.0,0.05999999865889549,0.125,0.125,-0.0625
1644287564343489111,-0.05000000074505806,-0.019999999552965164,0.07000000029802322,0.0,0.0625,0.0
1644287564353951610,-0.029999999329447746,-0.029999999329447746,0.07000000029802322,0.125,-0.0625,0.125
1644287564363954794,-0.029999999329447746,-0.029999999329447746,0.09000000357627869,0.0,0.0625,0.125
1644287564373763128,-0.03999999910593033,0.0,0.07000000029802322,0.0625,0.1875,0.1875
1644287564384839673,-0.05000000074505806,-0.009999999776482582,0.07000000029802322,0.1875,0.375,0.0
1644287564393337102,-0.05000000074505806,-0.009999999776482582,0.07000000029802322,0.0625,-0.0625,0.0
1644287564403536108,-0.029999999329447746,0.0,0.07999999821186066,0.125,-0.0625,0.0625
1644287564413610809,-0.019999999552965164,-0.019999999552965164,0.07000000029802322,0.0,-0.125,-0.0625
1644287564423739597,-0.03999999910593033,-0.029999999329447746,0.10000000149011612,0.125,-0.0625,0.125
1644287564434443765,-0.029999999329447746,0.0,0.07000000029802322,0.0625,0.0,0.0
1644287564445036549,-0.05000000074505806,-0.009999999776482582,0.05999999865889549,-0.0625,-0.0625,0.0
1644287564453903898,-0.05000000074505806,0.0,0.07999999821186066,-0.0625,-0.0625,0.0
1644287564463395716,-0.03999999910593033,0.0,0.09000000357627869,0.0,-0.1875,0.125
1644287564473169591,-0.03999999910593033,0.0,0.09000000357627869,-0.125,0.0625,0.0625
1644287564484668771,-0.05000000074505806,0.0,0.07999999821186066,0.0625,0.0625,0.0
1644287564494015688,-0.029999999329447746,-0.019999999552965164,0.05999999865889549,0.0,-0.3125,0.0
1644287564503329093,-0.03999999910593033,-0.019999999552965164,0.05000000074505806,0.0,-0.3125,0.0
1644287564514625666,-0.03999999910593033,-0.019999999552965164,0.07999999821186066,-0.0625,-0.125,0.0
1644287564523392203,-0.05999999865889549,-0.019999999552965164,0.07000000029802322,0.125,-0.1875,0.0625
1644287564534804320,-0.05000000074505806,0.0,0.10000000149011612,0.0625,-0.125,0.125
1644287564543304195,-0.03999999910593033,-0.009999999776482582,0.07000000029802322,-0.1875,0.125,0.1875
1644287564553444930,-0.03999999910593033,-0.009999999776482582,0.10000000149011612,0.0,0.0,-0.125
1644287564563317654,-0.03999999910593033,-0.009999999776482582,0.09000000357627869,-0.125,-0.375,0.0625
1644287564573343514,-0.05000000074505806,0.0,0.07999999821186066,-0.1875,-0.0625,0.0625
1644287564583244638,-0.05000000074505806,-0.019999999552965164,0.05000000074505806,-0.0625,-0.3125,0.0
1644287564594156445,-0.029999999329447746,0.0,0.05999999865889549,0.0625,0.0,0.125
