%time,field.data
1646148406523338235,time:1646148406.5231352, thrl:0.00048828125, r:-0.000518798828125, p:0.219329833984375, y:-0.005401611328125, a:0.00048828125
1646148406542354603,time:1646148406.5420604, thrl:0.00048828125, r:-0.000518798828125, p:0.219329833984375, y:-0.005401611328125, a:0.00048828125
1646148406562907371,time:1646148406.562626, thrl:0.00048828125, r:-0.000518798828125, p:0.219329833984375, y:-0.005401611328125, a:0.00048828125
1646148406582850763,time:1646148406.5826485, thrl:0.00048828125, r:-0.000518798828125, p:0.219329833984375, y:-0.005401611328125, a:0.00048828125
1646148406604700452,time:1646148406.6044865, thrl:0.00048828125, r:-0.000518798828125, p:0.219329833984375, y:-0.005401611328125, a:0.00048828125
1646148406622366846,time:1646148406.6220927, thrl:0.00048828125, r:-0.000518798828125, p:0.219329833984375, y:-0.005401611328125, a:0.00048828125
1646148406642795739,time:1646148406.6424806, thrl:0.00048828125, r:-0.000518798828125, p:0.219329833984375, y:-0.005401611328125, a:0.00048828125
1646148406663081746,time:1646148406.6628685, thrl:0.00048828125, r:-0.000518798828125, p:0.219329833984375, y:-0.005401611328125, a:0.00048828125
1646148406683875279,time:1646148406.6834466, thrl:0.00048828125, r:-0.000518798828125, p:0.219329833984375, y:-0.005401611328125, a:0.00048828125
1646148406702978749,time:1646148406.7022078, thrl:0.00048828125, r:-0.000518798828125, p:0.219329833984375, y:-0.005401611328125, a:0.00048828125
1646148406722802012,time:1646148406.722327, thrl:0.00048828125, r:-0.000518798828125, p:0.219329833984375, y:-0.005401611328125, a:0.00048828125
1646148406742538011,time:1646148406.742105, thrl:0.00048828125, r:-0.000518798828125, p:0.219329833984375, y:-0.005401611328125, a:0.00048828125
1646148406762245601,time:1646148406.7619643, thrl:0.00048828125, r:-0.000518798828125, p:0.219329833984375, y:-0.005401611328125, a:0.00048828125
1646148406783291242,time:1646148406.7827878, thrl:0.00048828125, r:-0.000518798828125, p:0.219329833984375, y:-0.005401611328125, a:0.00048828125
1646148406802173616,time:1646148406.8019063, thrl:0.00048828125, r:-0.000518798828125, p:0.219329833984375, y:-0.005401611328125, a:0.00048828125
1646148406822681612,time:1646148406.8223186, thrl:0.00048828125, r:-0.000518798828125, p:0.219329833984375, y:-0.005401611328125, a:0.00048828125
1646148406844314282,time:1646148406.843672, thrl:0.00048828125, r:-0.000518798828125, p:0.219329833984375, y:-0.005401611328125, a:0.00048828125
1646148406863555447,time:1646148406.8630753, thrl:0.00048828125, r:-0.000518798828125, p:0.219329833984375, y:-0.005401611328125, a:0.00048828125
1646148406882563325,time:1646148406.8821673, thrl:0.00048828125, r:-0.000518798828125, p:0.219329833984375, y:-0.005401611328125, a:0.00048828125
1646148406902498069,time:1646148406.9020498, thrl:0.00048828125, r:-0.000518798828125, p:0.219329833984375, y:-0.005401611328125, a:0.00048828125
1646148406922219684,time:1646148406.921917, thrl:0.00048828125, r:-0.000518798828125, p:0.219329833984375, y:-0.005401611328125, a:0.00048828125
1646148406944267580,time:1646148406.9436111, thrl:0.00048828125, r:-0.000518798828125, p:0.219329833984375, y:-0.005401611328125, a:0.00048828125
1646148406962778627,time:1646148406.962514, thrl:0.00048828125, r:-0.000518798828125, p:0.219329833984375, y:-0.005401611328125, a:0.00048828125
1646148406983282991,time:1646148406.9827235, thrl:0.00048828125, r:-0.000518798828125, p:0.219329833984375, y:-0.005401611328125, a:0.00048828125
1646148407002141705,time:1646148407.001881, thrl:0.00048828125, r:-0.000518798828125, p:0.219329833984375, y:-0.005401611328125, a:0.00048828125
1646148407022162718,time:1646148407.021882, thrl:0.00048828125, r:-0.000518798828125, p:0.219329833984375, y:-0.005401611328125, a:0.00048828125
1646148407043419027,time:1646148407.0428627, thrl:0.00048828125, r:-0.000518798828125, p:0.219329833984375, y:-0.005401611328125, a:0.00048828125
1646148407062793318,time:1646148407.0625226, thrl:0.00048828125, r:-0.000518798828125, p:0.219329833984375, y:-0.005401611328125, a:0.00048828125
1646148407082245032,time:1646148407.0819201, thrl:0.00048828125, r:-0.000518798828125, p:0.219329833984375, y:-0.005401611328125, a:0.00048828125
1646148407102174505,time:1646148407.101903, thrl:0.00048828125, r:-0.000518798828125, p:0.219329833984375, y:-0.005401611328125, a:0.00048828125
